########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      27572.6757812        208.21168956      208.21168956
1246.0     1313.0      21181.984375        160.752466476      160.752466476
1313.0     1383.0      16342.0722656        124.199923395      124.199923395
1383.0     1455.0      12230.765625        91.3957941019      91.3957941019
1455.0     1530.0      9380.76367188        68.6309226255      68.6309226255
1530.0     1607.0      7153.87695312        55.015589988      55.015589988
1607.0     1687.0      5406.31396484        41.179799824      41.179799824
1687.0     1770.0      4212.67578125        32.3015942301      32.3015942301
1770.0     1856.0      3192.65795898        23.8292945302      23.8292945302
1856.0     1945.0      2459.77685547        17.183813787      17.183813787
1945.0     2037.0      1889.78125        13.0613662701      13.0613662701
2037.0     2132.0      1440.7791748        9.63800822279      9.63800822279
2132.0     2231.0      1095.62231445        7.30087930983      7.30087930983
2231.0     2332.0      842.081665039        5.91489395592      5.91489395592
2332.0     2438.0      652.403869629        7.40513822592      7.40513822592
2438.0     2546.0      484.497741699        3.5357797268      3.5357797268
2546.0     2659.0      382.417541504        2.88202430753      2.88202430753
2659.0     2775.0      285.416656494        2.37522183728      2.37522183728
2775.0     2895.0      219.723342896        1.90246006436      1.90246006436
2895.0     3019.0      168.871826172        1.61027658923      1.61027658923
3019.0     3147.0      126.109031677        1.29037375469      1.29037375469
3147.0     3279.0      97.1339187622        1.0854710857      1.0854710857
3279.0     3416.0      72.3872680664        0.910161975968      0.910161975968
3416.0     3558.0      53.8744735718        0.753022980271      0.753022980271
3558.0     3704.0      40.6994628906        0.62615015848      0.62615015848
3704.0     3854.0      29.8988113403        0.506037703639      0.506037703639
3854.0     4010.0      22.1579227448        0.398696120169      0.398696120169
4010.0     4171.0      16.2160816193        0.308687950853      0.308687950853
4171.0     4337.0      11.7193946838        0.229594257158      0.229594257158
4337.0     4509.0      8.59371089935        0.169095299276      0.169095299276
4509.0     4686.0      6.0796456337        0.121581374214      0.121581374214
4686.0     4869.0      4.43574476242        0.0978040169772      0.0978040169772
4869.0     5058.0      3.16557312012        0.0802736975396      0.0802736975396
5058.0     5253.0      2.10789632797        0.0538897398293      0.0538897398293
5253.0     5455.0      1.50300550461        0.0435985662848      0.0435985662848
5455.0     5663.0      1.00354731083        0.031216151134      0.031216151134
5663.0     5877.0      0.691878557205        0.0223549318737      0.0223549318737
5877.0     6099.0      1.19695496559        0.0143127927146      0.0143127927146
6099.0     6328.0      0.298185586929        0.00831912195162      0.00831912195162
6328.0     6564.0      0.194541946054        0.0153293715574      0.0153293715574
6564.0     6808.0      0.110879570246        0.00410024750693      0.00410024750693
6808.0     7060.0      0.0709856897593        0.00295297883265      0.00295297883265
7060.0     7320.0      0.0403617918491        0.0018276559235      0.0018276559235
7320.0     7589.0      0.0233361907303        0.0015322711629      0.0015322711629
7589.0     7866.0      0.0124998856336        0.000484095195929      0.000484095195929
7866.0     8152.0      0.00705496454611        0.000305278145195      0.000305278145195
8152.0     8447.0      0.00399131374434        0.000242596029966      0.000242596029966
8447.0     8752.0      0.00199689576402        0.000144616096508      0.000144616096508
8752.0     9067.0      0.000863542605657        4.098191549e-05      4.098191549e-05
9067.0     9391.0      0.000377313641366        2.70895401784e-05      2.70895401784e-05
9391.0     9726.0      0.000175042412593        1.84510898229e-05      1.84510898229e-05
9726.0     10072.0      7.19618838048e-05        1.183045997e-05      1.183045997e-05
10072.0     10430.0      1.55593261297e-05        5.50105214707e-06      5.50105214707e-06
10430.0     10798.0      9.72457928583e-06        4.34896357803e-06      4.34896357803e-06
10798.0     11179.0      0.0        0.0      0.0
11179.0     11571.0      0.0        0.0      0.0
11571.0     11977.0      0.0        0.0      0.0
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
